trajectory_index,phase,sim_time_s,joint_rmse_rad,joint_max_abs_rad,ee_position_error_m
87,Descend,2.1599999999999837,0.009506050334447297,0.01470302289115999,0.004147101122480288
88,Descend,2.1799999999999815,0.00949888065671549,0.014694911103116048,0.004137997911976108
89,Descend,2.1999999999999793,0.009492187432780158,0.01468828108925857,0.004128781576906811
90,Descend,2.219999999999977,0.00948588928567723,0.014682861431851268,0.004119476234686324
91,Descend,2.239999999999975,0.00947991998515482,0.014678430394684305,0.004110101795275154
92,Descend,2.2599999999999727,0.009474225583439164,0.01467480683102318,0.004100674690174981
93,Descend,2.2799999999999705,0.009468762108253327,0.014671842755088704,0.0040912084885727056
94,Descend,2.2999999999999683,0.009463493699625939,0.014669417272778595,0.004081714412922433
95,Descend,2.319999999999966,0.009458391101704175,0.014667431622979787,0.004072201767177238
96,Descend,2.339999999999964,0.009453430439623864,0.01466580512629001,0.004062678290485749
97,Descend,2.3599999999999617,0.009448592226012882,0.01466447187514408,0.004053150448075317
98,Descend,2.3799999999999595,0.00944386055297701,0.01466337802968587,0.004043623669708074
99,Descend,2.5999999999999353,0.00255610948682391,0.004434572856992114,0.00463778632163574
100,Lift,2.619999999999933,0.003492321837274271,0.008798538531498257,0.006056483105853616
101,Lift,2.639999999999931,0.0049712035434658465,0.012382631151537926,0.007305330139388685
102,Lift,2.6599999999999286,0.006340691689314048,0.015312623292337402,0.008354316298202599
103,Lift,2.6799999999999264,0.0075011797520940756,0.017682327018414767,0.00919971424819776
104,Lift,2.6999999999999242,0.008462828703467267,0.019602076438734017,0.009883233005942113
105,Lift,2.719999999999922,0.009253495951033074,0.02116211151474401,0.010440404114694187
106,Lift,2.73999999999992,0.009900467577720937,0.022425237924226793,0.010887049144625129
107,Lift,2.7599999999999176,0.010428028343581624,0.02344300591164894,0.011237974182678457
108,Lift,2.7799999999999154,0.010857425236097111,0.024264615136406986,0.011515424840776198
109,Lift,2.7999999999999132,0.011206865016510598,0.02493086879131612,0.011738411246514514
110,Lift,2.819999999999911,0.011491089580330169,0.025470192854000873,0.011916035959851948
111,Lift,2.839999999999909,0.011721844027797475,0.02590379318690106,0.012053410345198575
112,Lift,2.8599999999999066,0.011908847751196812,0.026251897547441838,0.012158773103766094
113,Lift,2.8799999999999044,0.012060250261152912,0.02653240678484803,0.012240639357262259
114,Lift,2.899999999999902,0.012182791502608122,0.026758445010902188,0.01230401036371264
115,Lift,2.9199999999999,0.012281784835506532,0.026939107443717192,0.012350908061699402
116,Lift,2.939999999999898,0.012361509479869397,0.027082473178170696,0.012383929433624798
